BATSMAN_NAME,1s,2s,3s,0s,PERCENTAGE
"V Kohli",1919,346,13,1625,2.38
"S Dhawan",1637,236,20,1613,2.18
"RG Sharma",1663,214,6,1532,2.11
"SK Raina",1666,264,11,1412,2.09
"DA Warner",1348,317,19,1429,1.97
"RV Uthappa",1331,214,13,1480,1.89
"G Gambhir",1352,249,15,1357,1.82
"MS Dhoni",1409,315,15,1225,1.81
"CH Gayle",959,87,3,1560,1.73
"AM Rahane",1326,221,15,1271,1.72
"AB de Villiers",1333,249,16,1041,1.69
"KD Karthik",1218,217,6,1097,1.56
"AT Rayudu",1288,172,1,1069,1.54
"SR Watson",931,135,8,1247,1.49
"MK Pandey",1142,188,10,1049,1.43
"PA Patel",811,127,8,1081,1.26
"YK Pathan",877,155,5,872,1.20
"JH Kallis",888,113,8,982,1.18
"BB McCullum",713,103,3,1025,1.17
"M Vijay",701,164,17,987,1.14
"Yuvraj Singh",741,119,3,976,1.14
"KA Pollard",760,131,8,813,1.09
"SR Tendulkar",721,117,7,874,1.06
"KL Rahul",793,141,4,714,1.03
"SV Samson",791,150,13,710,1.02
"R Dravid",681,118,1,819,0.99
"SE Marsh",724,99,6,734,0.99
"SPD Smith",814,151,7,616,0.96
"V Sehwag",558,96,2,737,0.95
"F du Plessis",763,119,11,655,0.94
"DR Smith",521,84,3,832,0.93
"SS Iyer",739,95,4,691,0.93
"RA Jadeja",744,158,5,634,0.92
"JP Duminy",781,126,6,562,0.87
"MEK Hussey",648,96,11,643,0.85
"AJ Finch",529,99,4,711,0.84
"AC Gilchrist",417,66,4,737,0.80
"WP Saha",590,127,5,571,0.80
"DPMD Jayawardene",565,93,4,618,0.79
"SA Yadav",602,89,4,562,0.79
"MK Tiwary",633,77,8,571,0.77
"Q de Kock",520,77,5,618,0.77
"KC Sangakkara",563,81,5,552,0.74
"RR Pant",550,82,2,494,0.73
"DA Miller",569,126,1,465,0.71
"Mandeep Singh",516,112,4,524,0.71
"NV Ojha",438,64,10,648,0.70
"SC Ganguly",427,54,3,662,0.69
"MA Agarwal",482,73,2,523,0.68
"S Badrinath",484,85,1,493,0.64
"KS Williamson",546,89,6,389,0.63
"DJ Bravo",431,107,5,479,0.62
"SS Tiwary",501,90,2,450,0.62
"JC Buttler",395,89,2,453,0.61
"KK Nair",422,82,5,465,0.61
"BJ Hodge",452,89,8,439,0.60
"DJ Hussey",452,72,2,425,0.57
"N Rana",395,44,3,451,0.56
"EJG Morgan",363,68,3,441,0.54
"TM Dilshan",335,54,2,492,0.54
"GJ Maxwell",329,74,2,398,0.52
"IK Pathan",406,76,2,372,0.51
"KM Jadhav",400,57,1,352,0.49
"CA Lynn",302,44,0,401,0.48
"Ishan Kishan",341,43,0,359,0.47
"AD Russell",259,32,0,357,0.46
"HH Pandya",337,48,3,329,0.46
"LMP Simmons",269,52,2,402,0.45
"Y Venugopal Rao",341,53,1,355,0.45
"LRPL Taylor",334,62,3,334,0.44
"HH Gibbs",264,45,3,410,0.43
"ML Hayden",257,48,2,366,0.43
"M Vohra",234,62,9,358,0.41
"A Symonds",288,66,4,308,0.40
"CL White",334,47,2,274,0.40
"MC Henriques",310,70,3,272,0.40
"Shubman Gill",339,51,2,263,0.40
"AR Patel",341,51,0,257,0.39
"KP Pietersen",284,48,4,290,0.39
"RA Tripathi",272,54,2,296,0.39
"KH Pandya",259,56,3,274,0.38
"MS Bisla",207,36,3,375,0.38
"JA Morkel",287,55,1,252,0.37
"BA Stokes",283,59,2,244,0.36
"GC Smith",228,39,1,320,0.36
"STR Binny",263,61,7,268,0.36
"Harbhajan Singh",193,34,0,284,0.33
"MP Stoinis",252,53,1,218,0.32
"Shakib Al Hasan",256,45,0,222,0.32
"AD Mathews",267,49,3,207,0.31
"PP Shaw",200,31,2,246,0.31
"AM Nayar",230,47,1,234,0.30
"JM Bairstow",187,43,5,231,0.30
"SP Narine",118,21,1,277,0.30
"ST Jayasuriya",128,22,7,292,0.30
"TL Suman",205,43,3,255,0.30
"GJ Bailey",222,44,1,207,0.29
"PP Chawla",189,34,1,245,0.28
"V Shankar",241,42,1,175,0.27
"DJ Hooda",220,50,1,172,0.26
"M Manhas",191,44,1,197,0.25
"JD Ryder",145,30,3,200,0.24
"RS Bopara",204,27,7,175,0.24
"CJ Anderson",139,25,1,200,0.23
"Gurkeerat Singh",176,23,1,170,0.23
"HM Amla",164,22,1,150,0.22
"PC Valthaty",101,20,0,230,0.22
"A Mishra",172,22,0,182,0.21
"CA Pujara",133,15,1,200,0.21
"D Padikkal",162,25,3,149,0.21
"JP Faulkner",160,41,1,144,0.21
"OA Shah",168,29,2,149,0.21
"DT Christian",180,29,2,132,0.20
"R Ashwin",158,24,0,156,0.20
"AL Menaria",149,24,0,152,0.19
"CH Morris",144,34,1,112,0.19
"J Botha",143,37,2,138,0.19
"LR Shukla",137,20,0,152,0.19
"E Lewis",100,12,2,167,0.18
"SA Asnodkar",105,17,0,164,0.18
"DB Ravi Teja",136,18,3,124,0.17
"GH Vihari",137,23,1,146,0.17
"N Pooran",100,26,1,124,0.17
"NLTC Perera",119,26,1,129,0.17
"P Kumar",102,24,0,158,0.17
"SN Khan",133,21,0,106,0.17
"Azhar Mahmood",116,19,0,124,0.16
"JEC Franklin",129,22,0,124,0.16
"JR Hopes",114,19,1,120,0.16
"MV Boucher",127,29,1,116,0.16
"P Negi",108,25,1,124,0.16
"S Sohal",82,17,1,158,0.16
"SP Goswami",110,17,1,144,0.16
"UBT Chand",88,15,0,170,0.16
"AP Tare",72,19,1,142,0.15
"KV Sharma",114,22,1,116,0.15
"R Bhatia",119,23,1,110,0.15
"R Vinay Kumar",110,31,0,118,0.15
"DB Das",92,12,0,124,0.14
"R Tewatia",110,20,0,106,0.14
"VVS Laxman",100,10,0,123,0.14
"Y Nagar",109,18,2,113,0.14
"B Chipli",100,7,4,110,0.13
"DJG Sammy",94,15,1,108,0.13
"LA Pomersbach",85,18,1,109,0.13
"M Kaif",86,23,1,120,0.13
"SW Billings",99,24,1,91,0.13
"C de Grandhomme",91,16,0,86,0.12
"K Goel",71,11,1,130,0.12
"R Sathish",89,24,3,92,0.12
"RN ten Doeschate",102,15,0,80,0.12
"AA Jhunjhunwala",82,13,1,98,0.11
"MD Mishra",65,14,0,102,0.11
"R Parag",84,11,0,88,0.11
"SK Warne",82,12,0,105,0.11
"A Ashish Reddy",83,20,1,61,0.10
"B Kumar",69,14,0,96,0.10
"MJ Guptill",59,7,2,88,0.10
"MJ Lumb",41,9,1,96,0.10
"MM Ali",73,7,0,75,0.10
"MR Marsh",83,11,0,85,0.10
"SM Curran",61,15,0,84,0.10
"SM Katich",56,15,1,85,0.10
"SO Hetmyer",77,12,0,80,0.10
"AS Raut",73,9,3,67,0.09
"CA Ingram",69,9,0,78,0.09
"FY Fazal",75,7,0,74,0.09
"MG Johnson",58,12,1,80,0.09
"MN Samuels",61,11,0,86,0.09
