BATSMAN_NAME,4s,6s,PERCENTAGE
"V Kohli",504,202,2.38
"S Dhawan",591,109,2.18
"RG Sharma",458,214,2.11
"SK Raina",493,194,2.09
"DA Warner",510,195,1.97
"RV Uthappa",454,163,1.89
"G Gambhir",492,59,1.82
"MS Dhoni",313,216,1.81
"CH Gayle",384,349,1.73
"AM Rahane",416,76,1.72
"AB de Villiers",390,235,1.69
"KD Karthik",377,105,1.56
"AT Rayudu",308,132,1.54
"SR Watson",376,190,1.49
"MK Pandey",288,93,1.43
"PA Patel",365,49,1.26
"YK Pathan",262,159,1.20
"JH Kallis",255,44,1.18
"BB McCullum",293,130,1.17
"Yuvraj Singh",217,149,1.14
"M Vijay",247,91,1.14
"KA Pollard",196,198,1.09
"SR Tendulkar",296,29,1.06
"KL Rahul",234,104,1.03
"SV Samson",191,115,1.02
"R Dravid",269,28,0.99
"SE Marsh",266,78,0.99
"SPD Smith",212,58,0.96
"V Sehwag",334,106,0.95
"F du Plessis",205,73,0.94
"DR Smith",245,117,0.93
"SS Iyer",189,83,0.93
"RA Jadeja",157,76,0.92
"JP Duminy",126,79,0.87
"MEK Hussey",198,52,0.85
"AJ Finch",204,75,0.84
"WP Saha",184,64,0.80
"AC Gilchrist",239,92,0.80
"DPMD Jayawardene",200,39,0.79
"SA Yadav",221,58,0.79
"MK Tiwary",156,40,0.77
"Q de Kock",201,76,0.77
"KC Sangakkara",195,27,0.74
"RR Pant",184,103,0.73
"Mandeep Singh",170,37,0.71
"DA Miller",126,87,0.71
"NV Ojha",121,79,0.70
"SC Ganguly",137,42,0.69
"MA Agarwal",161,67,0.68
"S Badrinath",154,28,0.64
"KS Williamson",137,54,0.63
"DJ Bravo",116,61,0.62
"SS Tiwary",101,48,0.62
"KK Nair",160,39,0.61
"JC Buttler",167,77,0.61
"BJ Hodge",122,43,0.60
"DJ Hussey",90,60,0.57
"N Rana",127,72,0.56
"TM Dilshan",140,24,0.54
"EJG Morgan",104,58,0.54
"GJ Maxwell",119,91,0.52
"IK Pathan",87,37,0.51
"KM Jadhav",99,38,0.49
"CA Lynn",128,63,0.48
"Ishan Kishan",100,64,0.47
"AD Russell",105,129,0.46
"HH Pandya",86,93,0.46
"Y Venugopal Rao",77,37,0.45
"LMP Simmons",109,44,0.45
"LRPL Taylor",66,46,0.44
"ML Hayden",121,44,0.43
"HH Gibbs",83,31,0.43
"M Vohra",97,39,0.41
"CL White",76,36,0.40
