BATSMAN_NAME,TOTAL_DISMISSALS,BOWLED,CAUGHT,"CAUGHT AND BOWLED","HIT WICKET",LBW,"OBSTRUCTING THE FIELD","RETIRED HURT","RUN OUT",STUMPED
"RG Sharma",177,23,112,7,0,12,0,0,20,3
"RV Uthappa",169,15,115,5,0,14,0,0,13,7
"V Kohli",163,30,105,3,0,7,0,0,15,3
"SK Raina",160,16,110,8,0,6,0,0,12,8
"S Dhawan",152,31,86,3,0,10,0,1,15,6
"KD Karthik",152,23,91,3,0,14,0,0,17,4
"G Gambhir",135,27,80,4,0,7,0,0,15,2
"PA Patel",127,22,72,4,0,12,0,0,11,6
"MS Dhoni",126,16,76,4,0,5,0,0,22,3
"DA Warner",126,25,77,4,1,4,0,0,10,5
"SR Watson",125,35,70,1,0,6,0,0,9,4
"AM Rahane",125,18,74,6,0,15,0,0,8,4
"AT Rayudu",123,22,72,6,0,4,0,0,12,7
"CH Gayle",116,24,76,3,0,8,0,0,2,3
"AB de Villiers",114,21,73,2,0,6,0,0,6,6
"YK Pathan",111,11,76,4,0,5,1,0,12,2
"Yuvraj Singh",109,10,84,2,1,5,0,0,4,3
"MK Pandey",109,25,67,5,0,6,0,0,5,1
"BB McCullum",106,17,62,1,0,16,0,0,7,3
"KA Pollard",106,17,75,0,0,5,0,0,8,1
"V Sehwag",98,15,70,2,0,4,0,0,6,1
"M Vijay",97,19,52,3,0,10,0,0,8,5
"SV Samson",91,13,61,3,0,6,0,0,5,3
"JH Kallis",89,16,60,1,0,3,0,0,9,0
"RA Jadeja",88,16,53,7,1,2,0,0,8,1
"DR Smith",81,18,48,1,0,12,0,0,2,0
"WP Saha",78,18,43,0,0,4,0,0,8,5
"Mandeep Singh",78,15,48,1,0,2,0,0,7,5
"AJ Finch",78,22,41,2,0,7,0,1,2,3
"MA Agarwal",78,18,52,2,0,2,0,0,2,2
"R Dravid",77,16,47,5,0,2,0,0,6,1
"AC Gilchrist",76,12,53,2,0,4,0,0,2,3
"NV Ojha",74,9,54,1,0,2,0,0,5,3
"SS Iyer",73,9,48,2,0,5,0,0,7,2
"SPD Smith",72,15,42,3,0,2,0,0,10,0
"SR Tendulkar",71,12,36,2,0,8,0,2,8,3
"KC Sangakkara",69,14,40,4,0,2,0,0,6,3
"GJ Maxwell",69,13,46,1,0,5,0,0,4,0
"F du Plessis",67,12,40,3,0,0,0,0,6,6
"DJ Bravo",65,12,42,3,0,6,0,0,1,1
"SA Yadav",65,7,47,1,0,6,0,0,3,1
"SE Marsh",64,16,35,3,0,3,0,0,5,2
"DPMD Jayawardene",63,6,38,2,0,6,0,0,8,3
"KK Nair",63,12,37,1,0,7,0,0,4,2
"KL Rahul",62,16,35,0,0,5,0,0,4,2
"MK Tiwary",61,11,30,1,0,7,0,0,8,4
"Q de Kock",60,9,43,3,0,3,0,0,1,1
"RR Pant",59,10,39,0,0,5,0,0,5,0
"Harbhajan Singh",56,7,33,0,0,6,0,2,8,0
"SC Ganguly",54,9,37,1,0,2,0,0,3,2
"DA Miller",54,13,34,0,0,3,0,0,2,2
"IK Pathan",53,8,31,1,0,1,0,0,9,3
"N Rana",53,4,39,1,0,4,0,1,4,0
"MEK Hussey",52,15,29,0,0,2,0,0,5,1
"AR Patel",51,9,30,1,0,2,0,0,7,2
"PP Chawla",50,12,26,0,0,2,0,0,8,2
"KM Jadhav",50,5,30,2,0,5,0,0,7,1
"AD Russell",50,10,35,2,0,0,0,0,3,0
"DJ Hussey",49,9,32,0,0,1,0,0,6,1
"JP Duminy",49,10,30,3,0,1,0,0,4,1
"EJG Morgan",49,7,33,0,0,2,0,0,6,1
"SP Narine",49,10,34,1,0,1,0,0,1,2
"SS Tiwary",48,4,34,1,1,3,0,0,2,3
"S Badrinath",48,2,31,3,0,4,0,0,5,3
"JC Buttler",48,7,32,1,0,3,0,0,2,3
"HH Pandya",47,4,34,1,1,3,0,0,3,1
"BJ Hodge",46,9,23,0,0,6,0,0,6,2
"STR Binny",44,6,27,1,0,3,0,0,4,3
"Y Venugopal Rao",42,8,24,0,0,1,0,0,9,0
"M Vohra",42,8,22,4,0,5,0,0,3,0
"LRPL Taylor",41,6,24,2,0,5,0,0,3,1
"TM Dilshan",41,11,24,0,0,3,0,0,2,1
"KS Williamson",41,3,31,1,0,2,0,0,2,2
"JA Morkel",40,10,25,1,0,0,0,0,4,0
"Ishan Kishan",40,6,29,0,0,1,0,0,3,1
"AM Nayar",39,4,21,0,0,5,0,0,9,0
"KH Pandya",38,2,31,3,0,1,0,1,0,0
"BA Stokes",38,13,19,3,0,0,0,0,3,0
"MS Bisla",37,9,18,0,0,2,0,0,4,4
"CA Lynn",37,9,21,3,0,3,0,0,1,0
"RA Tripathi",37,8,24,2,0,1,0,0,2,0
"PP Shaw",37,7,24,3,0,1,0,0,1,1
