MATCH_PLAYED,BATSMAN,RUNS_SCORED,BALL_FACED,STRIKE_RATE,BATTING_AVG,GOT_OUT,NOT_OUT,FOURS,SIXES,BOUNDARY_PERCENTAGE
23,"A Ashish Reddy",280,196,142.86,18.67,15,8,16,15,55.00
2,"A Chandila",4,7,57.14,4.00,1,1,0,0,0.00
6,"A Chopra",53,75,70.67,10.60,5,1,7,0,52.83
3,"A Choudhary",25,20,125.00,12.50,2,1,1,1,40.00
1,"A Dananjaya",4,5,80.00,NULL,0,1,0,0,0.00
3,"A Flintoff",62,57,108.77,31.00,2,1,5,2,51.61
15,"A Kumble",35,49,71.43,17.50,2,13,3,0,34.29
54,"A Mishra",362,410,88.29,12.07,30,24,29,5,40.33
6,"A Mithun",34,26,130.77,6.80,5,1,4,1,64.71
2,"A Mukund",19,23,82.61,9.50,2,0,1,0,21.05
17,"A Nehra",41,63,65.08,5.13,8,9,3,1,43.90
3,"A Nortje",7,6,116.67,7.00,1,2,0,0,0.00
5,"A Singh",2,10,20.00,0.50,4,1,0,0,0.00
36,"A Symonds",974,781,124.71,37.46,26,10,74,41,55.65
2,"A Uniyal",4,7,57.14,4.00,1,1,0,0,0.00
2,"A Zampa",5,8,62.50,2.50,2,0,1,0,80.00
7,"AA Bilakhia",69,88,78.41,13.80,5,2,5,0,28.99
3,"AA Chavan",12,11,109.09,12.00,1,2,2,0,66.67
15,"AA Jhunjhunwala",217,218,99.54,15.50,14,1,19,5,48.85
1,"AA Noffke",9,12,75.00,9.00,1,0,1,0,44.44
18,"AB Agarkar",179,160,111.88,22.38,8,10,13,5,45.81
3,"AB Barath",42,43,97.67,21.00,2,1,5,1,61.90
156,"AB de Villiers",4849,3264,148.56,42.54,114,42,390,235,61.25
16,"AB Dinda",26,50,52.00,2.89,9,7,2,0,30.77
9,"AB McDonald",123,103,119.42,24.60,5,4,9,4,48.78
7,"Abdul Samad",111,66,168.18,22.20,5,2,8,6,61.26
1,"Abdur Razzak",0,2,0.00,NULL,0,1,0,0,NULL
13,"Abhishek Sharma",143,104,137.50,17.88,8,5,10,8,61.54
7,"AC Blizzard",120,91,131.87,17.14,7,0,21,2,80.00
80,"AC Gilchrist",2069,1555,133.05,27.22,76,4,239,92,72.89
4,"AC Thomas",20,19,105.26,10.00,2,2,1,1,50.00
7,"AC Voges",181,143,126.57,30.17,6,1,15,3,43.09
6,"AD Hales",148,119,124.37,24.67,6,0,13,6,59.46
11,"AD Mascarenhas",79,79,100.00,7.90,10,1,5,1,32.91
41,"AD Mathews",724,599,120.87,23.35,31,10,44,29,48.34
10,"AD Nath",90,99,90.91,9.00,10,0,7,2,44.44
61,"AD Russell",1517,882,172.00,30.34,50,11,105,129,78.71
3,"AF Milne",7,12,58.33,2.33,3,0,0,0,0.00
3,"AG Murtaza",10,14,71.43,10.00,1,2,1,0,40.00
5,"AG Paunikar",49,61,80.33,9.80,5,0,9,0,73.47
85,"AJ Finch",2005,1622,123.61,25.71,78,7,204,75,63.14
4,"AJ Turner",3,11,27.27,1.00,3,1,0,0,0.00
13,"AJ Tye",91,79,115.19,11.38,8,5,6,5,59.34
23,"AL Menaria",401,367,109.26,18.23,22,1,24,18,50.87
50,"AM Nayar",672,588,114.29,17.23,39,11,55,20,50.60
140,"AM Rahane",3933,3325,118.29,31.46,125,15,416,76,53.90
6,"AN Ahmed",36,27,133.33,36.00,1,5,4,1,61.11
2,"AN Ghosh",7,8,87.50,3.50,2,0,1,0,57.14
4,"Anirudh Singh",63,69,91.30,15.75,4,0,6,1,47.62
10,"Ankit Sharma",87,69,126.09,12.43,7,3,7,4,59.77
3,"Ankit Soni",7,9,77.78,3.50,2,1,0,1,85.71
8,"Anureet Singh",36,47,76.60,9.00,4,4,2,1,38.89
2,"AP Dole",34,23,147.83,17.00,2,0,3,1,52.94
4,"AP Majumdar",87,77,112.99,21.75,4,0,7,2,45.98
27,"AP Tare",339,285,118.95,14.13,24,3,40,11,66.67
1,"AR Bawne",12,12,100.00,NULL,0,1,1,0,33.33
71,"AR Patel",913,745,122.55,17.90,51,20,53,43,51.48
1,"Arshdeep Singh",0,3,0.00,0.00,1,0,0,0,NULL
1,"AS Joseph",15,13,115.38,NULL,0,1,2,0,53.33
7,"AS Rajpoot",26,41,63.41,6.50,4,3,2,1,53.85
16,"AS Raut",194,172,112.79,17.64,11,5,13,7,48.45
6,"AS Yadav",49,40,122.50,7.00,7,-1,5,2,65.31
3,"AT Carey",32,29,110.34,16.00,2,1,0,1,18.75
149,"AT Rayudu",3659,2970,123.20,29.75,123,26,308,132,55.32
7,"AUK Pathan",39,26,150.00,7.80,5,2,5,2,82.05
1,"Avesh Khan",4,3,133.33,NULL,0,1,1,0,100.00
21,"Azhar Mahmood",388,311,124.76,20.42,19,2,39,13,60.31
11,"B Akhil",76,57,133.33,10.86,7,4,5,5,65.79
21,"B Chipli",280,256,109.38,17.50,16,5,28,7,55.00
42,"B Kumar",183,199,91.96,7.63,24,18,17,3,46.99
4,"B Laughlin",5,13,38.46,2.50,2,2,0,0,0.00
19,"B Lee",124,102,121.57,12.40,10,9,8,8,64.52
1,"B Stanlake",5,2,250.00,NULL,0,1,1,0,80.00
4,"B Sumanth",35,38,92.11,35.00,1,3,3,0,34.29
2,"BA Bhatt",6,7,85.71,NULL,0,2,0,1,100.00
40,"BA Stokes",920,700,131.43,24.21,38,2,79,32,55.22
7,"Basil Thampi",32,37,86.49,16.00,2,5,1,1,31.25
3,"BAW Mendis",3,6,50.00,1.50,2,1,0,0,0.00
109,"BB McCullum",2880,2267,127.04,27.17,106,3,293,130,67.78
8,"BB Samantray",125,116,107.76,25.00,5,3,13,2,51.20
7,"BB Sran",10,14,71.43,10.00,1,6,0,0,0.00
17,"BCJ Cutting",238,146,163.01,21.64,11,6,15,19,73.11
2,"BE Hendricks",1,3,33.33,1.00,1,1,0,0,0.00
17,"Bipul Sharma",187,124,150.81,31.17,6,11,11,9,52.41
1,"BJ Haddin",18,11,163.64,18.00,1,0,2,1,77.78
63,"BJ Hodge",1400,1153,121.42,30.43,46,17,122,43,53.29
8,"BJ Rohrer",193,145,133.10,32.17,6,2,21,5,59.07
3,"BMAJ Mendis",23,27,85.19,7.67,3,0,0,0,0.00
3,"BR Dunk",40,36,111.11,13.33,3,0,7,0,70.00
21,"C de Grandhomme",303,229,132.31,20.20,15,6,18,18,59.41
1,"C Madan",15,21,71.43,15.00,1,0,3,0,80.00
11,"C Munro",177,144,122.92,19.67,9,2,19,8,70.06
1,"C Nanda",0,1,0.00,0.00,1,0,0,0,NULL
15,"CA Ingram",205,183,112.02,17.08,12,3,22,5,57.56
41,"CA Lynn",1280,938,136.46,34.59,37,4,128,63,69.53
22,"CA Pujara",390,403,96.77,21.67,18,4,50,4,57.44
131,"CH Gayle",4772,3342,142.79,41.14,116,15,384,349,76.07
42,"CH Morris",551,360,153.06,22.96,24,18,39,30,60.98
29,"CJ Anderson",538,436,123.39,24.45,22,7,40,31,64.31
8,"CJ Ferguson",98,119,82.35,16.33,6,2,9,0,36.73
6,"CJ Jordan",32,38,84.21,8.00,4,2,2,0,25.00
1,"CJ McKay",8,15,53.33,8.00,1,0,0,0,0.00
3,"CK Kapugedera",16,24,66.67,5.33,3,0,0,0,0.00
2,"CK Langeveldt",8,9,88.89,4.00,2,0,0,1,75.00
45,"CL White",954,769,124.06,27.26,35,10,76,36,54.51
13,"CM Gautam",169,158,106.96,18.78,9,4,17,6,61.54
14,"CR Brathwaite",181,120,150.83,12.93,14,0,10,16,75.14
11,"CR Woakes",63,66,95.45,12.60,5,6,5,2,50.79
2,"CRD Fernando",4,3,133.33,4.00,1,1,0,0,0.00
3,"CV Varun",10,16,62.50,5.00,2,1,0,0,0.00
1,"D du Preez",10,13,76.92,10.00,1,0,0,0,0.00
1,"D Kalyankrishna",3,8,37.50,3.00,1,0,0,0,0.00
15,"D Padikkal",473,398,118.84,33.79,14,1,51,8,53.28
3,"D Salunkhe",33,24,137.50,33.00,1,2,5,0,60.61
8,"D Wiese",127,94,135.11,25.40,5,3,12,4,56.69
77,"DA Miller",1850,1374,134.64,34.26,54,23,126,87,55.46
142,"DA Warner",5254,3819,137.58,41.70,126,16,510,195,61.10
1,"DAJ Bracewell",12,9,133.33,NULL,0,1,1,0,33.33
22,"DB Das",304,267,113.86,25.33,12,10,23,16,61.84
25,"DB Ravi Teja",375,325,115.38,18.75,20,5,35,9,51.73
4,"DE Bollinger",21,23,91.30,21.00,1,3,1,1,47.62
