BATSMAN_NAME,BATSMAN_RUNS,PERCENTAGE_OF_TOTAL_RUNS
"V Kohli",5878,2.33
"SK Raina",5368,2.12
"DA Warner",5254,2.08
"RG Sharma",5230,2.07
"S Dhawan",5197,2.06
"AB de Villiers",4849,1.92
"CH Gayle",4772,1.89
"MS Dhoni",4632,1.83
"RV Uthappa",4607,1.82
"G Gambhir",4217,1.67
"AM Rahane",3933,1.56
"SR Watson",3874,1.53
"KD Karthik",3823,1.51
"AT Rayudu",3659,1.45
"MK Pandey",3268,1.29
"YK Pathan",3204,1.27
"KA Pollard",3023,1.20
"BB McCullum",2880,1.14
"PA Patel",2848,1.13
"Yuvraj Singh",2750,1.09
"V Sehwag",2728,1.08
"KL Rahul",2647,1.05
"M Vijay",2619,1.04
"SV Samson",2584,1.02
"SE Marsh",2477,0.98
"JH Kallis",2427,0.96
"DR Smith",2385,0.94
"SR Tendulkar",2334,0.92
"SPD Smith",2333,0.92
"F du Plessis",2302,0.91
"SS Iyer",2200,0.87
"R Dravid",2174,0.86
"RA Jadeja",2159,0.85
"AC Gilchrist",2069,0.82
"RR Pant",2079,0.82
"JP Duminy",2029,0.80
"SA Yadav",2024,0.80
"AJ Finch",2005,0.79
"MEK Hussey",1977,0.78
"WP Saha",1979,0.78
"Q de Kock",1959,0.77
"DA Miller",1850,0.73
"DPMD Jayawardene",1802,0.71
"JC Buttler",1714,0.68
"KC Sangakkara",1687,0.67
"MK Tiwary",1695,0.67
"MA Agarwal",1690,0.67
"Mandeep Singh",1659,0.66
"KS Williamson",1619,0.64
"NV Ojha",1554,0.61
"GJ Maxwell",1505,0.60
"AD Russell",1517,0.60
"DJ Bravo",1490,0.59
"KK Nair",1480,0.59
"S Badrinath",1441,0.57
"N Rana",1437,0.57
"SS Tiwary",1379,0.55
"BJ Hodge",1400,0.55
"SC Ganguly",1349,0.53
"HH Pandya",1349,0.53
"DJ Hussey",1322,0.52
"CA Lynn",1280,0.51
"EJG Morgan",1272,0.50
"Ishan Kishan",1211,0.48
"TM Dilshan",1153,0.46
"IK Pathan",1139,0.45
"KM Jadhav",1141,0.45
"ML Hayden",1107,0.44
"LMP Simmons",1079,0.43
"LRPL Taylor",1017,0.40
"KP Pietersen",1001,0.40
"M Vohra",1012,0.40
"KH Pandya",1000,0.40
"A Symonds",974,0.39
"Y Venugopal Rao",985,0.39
"JA Morkel",974,0.39
"RA Tripathi",988,0.39
"CL White",954,0.38
"MC Henriques",969,0.38
"Shubman Gill",939,0.37
"AR Patel",913,0.36
"BA Stokes",920,0.36
"HH Gibbs",886,0.35
"STR Binny",880,0.35
"SP Narine",892,0.35
"Harbhajan Singh",829,0.33
"MP Stoinis",825,0.33
"PP Shaw",826,0.33
"MS Bisla",798,0.32
"JM Bairstow",790,0.31
"ST Jayasuriya",768,0.30
"Shakib Al Hasan",746,0.30
"GC Smith",739,0.29
"AD Mathews",724,0.29
"AM Nayar",672,0.27
"TL Suman",676,0.27
"GJ Bailey",663,0.26
"V Shankar",654,0.26
"DJ Hooda",625,0.25
"JD Ryder",604,0.24
"PP Chawla",584,0.23
"HM Amla",577,0.23
"CH Morris",551,0.22
"RS Bopara",531,0.21
"JP Faulkner",527,0.21
"CJ Anderson",538,0.21
"N Pooran",521,0.21
"PC Valthaty",505,0.20
"M Manhas",514,0.20
"OA Shah",506,0.20
"Gurkeerat Singh",511,0.20
"D Padikkal",473,0.19
"DT Christian",446,0.18
"SA Asnodkar",423,0.17
"NLTC Perera",422,0.17
"SN Khan",441,0.17
"E Lewis",430,0.17
"MV Boucher",394,0.16
"JR Hopes",417,0.16
"LR Shukla",405,0.16
"J Botha",409,0.16
"R Ashwin",412,0.16
"AL Menaria",401,0.16
"S Sohal",368,0.15
"DB Ravi Teja",375,0.15
"CA Pujara",390,0.15
"Azhar Mahmood",388,0.15
"R Bhatia",342,0.14
"A Mishra",362,0.14
"P Negi",365,0.14
"R Tewatia",366,0.14
"P Kumar",340,0.13
"KV Sharma",317,0.13
"AP Tare",339,0.13
"JEC Franklin",327,0.13
"RN ten Doeschate",326,0.13
"SW Billings",334,0.13
"R Vinay Kumar",310,0.12
"DB Das",304,0.12
"SP Goswami",293,0.12
"LA Pomersbach",302,0.12
"UBT Chand",300,0.12
"DJG Sammy",295,0.12
"C de Grandhomme",303,0.12
"MM Ali",309,0.12
"VVS Laxman",282,0.11
"B Chipli",280,0.11
"Y Nagar",285,0.11
"R Sathish",270,0.11
"MJ Lumb",278,0.11
"A Ashish Reddy",280,0.11
"GH Vihari",284,0.11
"MJ Guptill",270,0.11
"SO Hetmyer",275,0.11
"SM Curran",281,0.11
"SM Katich",241,0.10
"M Kaif",259,0.10
"R Parag",246,0.10
"K Goel",218,0.09
"AA Jhunjhunwala",217,0.09
"MD Mishra",237,0.09
"MR Marsh",225,0.09
"BCJ Cutting",238,0.09
"PJ Cummins",223,0.09
"SK Warne",198,0.08
"Salman Butt",193,0.08
"SP Fleming",196,0.08
"YV Takawale",192,0.08
"AS Raut",194,0.08
"PD Collingwood",203,0.08
"CA Ingram",205,0.08
"BJ Rohrer",193,0.08
"TM Head",205,0.08
"JC Archer",195,0.08
"RD Gaikwad",204,0.08
"AB Agarkar",179,0.07
"MF Maharoof",177,0.07
"DW Steyn",167,0.07
"MN van Wyk",167,0.07
"Bipul Sharma",187,0.07
"FY Fazal",183,0.07
"AC Voges",181,0.07
"DH Yagnik",170,0.07
"B Kumar",183,0.07
"MG Johnson",167,0.07
"CM Gautam",169,0.07
"CR Brathwaite",181,0.07
"C Munro",177,0.07
"JJ Roy",179,0.07
"Washington Sundar",186,0.07
"K Gowtham",186,0.07
"S Dube",169,0.07
"SM Pollock",147,0.06
"S Vidyut",145,0.06
"RE van der Merwe",159,0.06
"R McLaren",159,0.06
"MN Samuels",161,0.06
"N Saini",140,0.06
"PA Reddy",164,0.06
"R Dhawan",153,0.06
"S Gopal",164,0.06
"Mohammad Nabi",146,0.06
"AD Hales",148,0.06
"Abhishek Sharma",143,0.06
"Z Khan",117,0.05
"W Jaffer",130,0.05
"SB Styris",131,0.05
"Kamran Akmal",128,0.05
"B Lee",124,0.05
Misbah-ul-Haq,117,0.05
"S Anirudha",136,0.05
"Niraj Patel",121,0.05
"DL Vettori",121,0.05
"RJ Harris",117,0.05
"M Morkel",126,0.05
"AB McDonald",123,0.05
"P Dogra",127,0.05
"UT Yadav",122,0.05
"AC Blizzard",120,0.05
"KK Cooper",116,0.05
"HV Patel",128,0.05
"BB Samantray",125,0.05
"MC Juneja",125,0.05
"MM Sharma",122,0.05
"Sachin Baby",137,0.05
"TG Southee",115,0.05
"D Wiese",127,0.05
"UT Khawaja",127,0.05
"Rashid Khan",139,0.05
"K Rabada",125,0.05
"DJM Short",115,0.05
"PK Garg",133,0.05
"RT Ponting",91,0.04
"JDP Oram",106,0.04
"PR Shah",92,0.04
"DS Kulkarni",104,0.04
"M Kartik",113,0.04
"MS Gony",99,0.04
"SD Chitnis",99,0.04
"RJ Quiney",103,0.04
"DJ Jacobs",92,0.04
"CJ Ferguson",98,0.04
"S Rana",91,0.04
"DJ Harris",111,0.04
"MJ Clarke",98,0.04
"LJ Wright",106,0.04
"MA Starc",96,0.04
"JO Holder",104,0.04
"AD Nath",90,0.04
"AJ Tye",91,0.04
"TK Curran",106,0.04
"Abdul Samad",111,0.04
"Mohammad Hafeez",64,0.03
"B Akhil",76,0.03
"WPUJC Vaas",81,0.03
"Shahid Afridi",81,0.03
"RR Sarwan",73,0.03
