BOWLER_NAME,TOTAL_WICKETS,BOWLED,CAUGHT,CAUGHT_&_BOWLED,LBW
"SL Malinga",188,63,90,6,11
"DJ Bravo",175,20,116,11,6
"A Mishra",169,25,92,3,13
"PP Chawla",164,43,74,6,17
"Harbhajan Singh",161,29,83,11,8
"R Ashwin",153,24,87,4,15
"B Kumar",146,36,86,5,8
"SP Narine",143,36,57,7,17
"UT Yadav",137,21,89,0,9
"R Vinay Kumar",127,13,82,4,6
"YS Chahal",124,25,74,3,6
"RA Jadeja",122,29,61,5,11
"A Nehra",121,23,76,2,5
"Z Khan",119,22,70,1,9
"JJ Bumrah",119,26,71,1,11
"Sandeep Sharma",117,21,70,3,14
"SR Watson",107,16,71,2,2
"DW Steyn",105,26,62,2,6
"P Kumar",102,14,70,1,5
"RP Singh",100,25,58,2,5
"MM Sharma",100,21,65,2,4
"IK Pathan",99,22,49,3,6
"PP Ojha",99,15,57,0,5
"JA Morkel",96,17,58,2,7
"DS Kulkarni",91,12,68,4,2
"M Morkel",88,17,58,0,2
"JD Unadkat",88,14,62,5,0
"CH Morris",88,20,53,2,5
"AR Patel",87,22,44,4,1
"L Balaji",85,19,54,2,1
"Imran Tahir",83,15,50,5,7
"AB Dinda",82,14,52,0,3
"R Bhatia",82,19,44,2,6
"MM Patel",82,12,54,3,4
"Rashid Khan",80,22,31,1,18
"MJ McClenaghan",75,9,58,0,3
"JH Kallis",74,18,40,1,6
"Mohammed Shami",74,14,42,0,4
"I Sharma",73,16,51,0,4
"SK Trivedi",73,15,46,2,2
"JP Faulkner",72,18,39,0,2
"KA Pollard",71,5,46,6,2
"AD Russell",67,7,46,3,3
"TA Boult",67,9,50,0,4
"M Muralitharan",66,13,34,1,9
"Shakib Al Hasan",66,11,34,2,4
"K Rabada",66,10,50,1,0
"MG Johnson",64,11,49,0,1
"KV Sharma",64,5,41,2,6
"SK Warne",60,6,32,5,6
"S Kaul",55,12,37,0,2
"S Nadeem",53,9,25,5,4
"SB Jakati",50,10,26,2,2
"HV Patel",50,5,36,1,4
"SN Thakur",50,2,41,2,0
"A Kumble",49,8,24,1,4
"S Gopal",49,4,30,6,2
"KH Pandya",49,7,29,2,4
"S Aravind",48,8,32,3,2
"RJ Harris",47,8,31,2,4
"JC Archer",47,11,31,2,2
"YK Pathan",46,10,21,2,5
"Iqbal Abdulla",45,5,24,2,6
"NM Coulter-Nile",45,5,32,1,2
"HH Pandya",45,4,36,1,1
"DL Chahar",45,9,28,2,6
"AJ Tye",45,5,34,1,0
"VR Aaron",44,6,35,0,1
"S Sreesanth",43,7,27,0,4
"DE Bollinger",43,8,26,2,1
"P Awana",43,7,31,0,1
"Kuldeep Yadav",43,2,23,5,4
"MC Henriques",42,4,32,1,1
"R Sharma",42,8,20,2,8
