BOWLER_NAME,4s,6s,BOUNDARY_PERCENTAGE
"Harbhajan Singh",289,142,1.78
"R Ashwin",226,135,1.72
"PP Chawla",316,181,1.70
"A Mishra",222,172,1.67
"SL Malinga",314,86,1.54
"DJ Bravo",305,138,1.47
"SP Narine",234,107,1.46
"B Kumar",336,88,1.44
"RA Jadeja",213,148,1.43
"UT Yadav",393,116,1.37
"P Kumar",338,104,1.36
"Z Khan",312,64,1.18
"DW Steyn",283,54,1.18
"R Vinay Kumar",296,98,1.13
"YS Chahal",158,135,1.13
"JJ Bumrah",232,79,1.12
"SR Watson",293,74,1.10
"Sandeep Sharma",258,93,1.10
"IK Pathan",293,82,1.09
"AR Patel",158,96,1.06
"I Sharma",303,75,1.04
"A Nehra",279,76,1.02
"PP Ojha",146,97,1.01
"RP Singh",254,70,0.97
"DS Kulkarni",269,77,0.96
"JH Kallis",236,58,0.93
"JA Morkel",264,56,0.93
"MM Sharma",261,82,0.93
"M Morkel",230,61,0.88
"JD Unadkat",203,108,0.87
"R Bhatia",120,68,0.86
"AB Dinda",232,58,0.82
"M Muralitharan",104,66,0.82
"L Balaji",188,69,0.81
"SK Trivedi",154,51,0.80
"CH Morris",185,63,0.79
"Rashid Khan",107,56,0.77
"KA Pollard",152,70,0.73
"S Nadeem",112,70,0.73
"Mohammed Shami",209,74,0.73
"MM Patel",188,53,0.71
"Shakib Al Hasan",109,69,0.70
"MJ McClenaghan",181,72,0.70
"Imran Tahir",96,83,0.68
"MG Johnson",195,55,0.67
"JP Faulkner",159,65,0.66
"KH Pandya",105,44,0.66
"KV Sharma",87,91,0.64
"SK Warne",91,56,0.63
"YK Pathan",99,57,0.61
"M Kartik",97,41,0.61
"AD Russell",170,69,0.61
"TA Boult",190,48,0.60
"SB Jakati",97,60,0.57
"DL Chahar",150,30,0.54
"VR Aaron",152,51,0.53
"S Kaul",135,54,0.53
"A Kumble",72,35,0.51
"HV Patel",126,51,0.50
"S Sreesanth",130,39,0.49
"Iqbal Abdulla",88,37,0.49
"SN Thakur",131,50,0.49
"MS Gony",135,53,0.48
"SK Raina",71,44,0.48
"R Sharma",70,45,0.48
"TG Southee",135,42,0.48
"B Lee",123,25,0.47
"MC Henriques",120,37,0.47
"HH Pandya",115,59,0.47
"Kuldeep Yadav",62,66,0.47
"Yuvraj Singh",59,41,0.46
"S Gopal",69,58,0.46
"RJ Harris",119,27,0.45
"PJ Sangwan",118,43,0.44
"JC Archer",81,44,0.44
"K Rabada",110,36,0.43
"AB Agarkar",113,41,0.42
"AD Mathews",98,29,0.42
"DT Christian",88,34,0.42
"DL Vettori",67,24,0.41
"S Aravind",105,38,0.41
"P Awana",107,35,0.40
"NM Coulter-Nile",103,29,0.39
"Mohammed Siraj",97,54,0.39
"P Negi",57,47,0.38
"J Botha",60,24,0.37
"NLTC Perera",113,28,0.37
"BA Stokes",96,31,0.37
"DP Nannes",89,15,0.36
"JP Duminy",53,33,0.36
"PJ Cummins",90,31,0.36
"PV Tambe",64,28,0.35
"RD Chahar",53,38,0.34
"Washington Sundar",46,32,0.34
"AJ Tye",77,29,0.33
"STR Binny",76,14,0.32
"MA Starc",77,8,0.32
"M Ashwin",60,29,0.32
"DE Bollinger",73,19,0.31
"WD Parnell",80,11,0.31
"KK Cooper",59,23,0.31
"CH Gayle",49,27,0.30
"R Tewatia",29,36,0.30
"NA Saini",83,31,0.30
"DR Smith",75,33,0.29
"GJ Maxwell",48,41,0.29
"Azhar Mahmood",73,18,0.29
"AS Rajpoot",89,31,0.29
"MP Stoinis",74,37,0.29
"Mustafizur Rahman",56,22,0.29
"A Symonds",44,33,0.28
"Harmeet Singh",66,20,0.28
"SW Tait",71,12,0.28
"M Prasidh Krishna",97,24,0.28
"R Dhawan",51,16,0.27
"BB Sran",73,29,0.27
"A Singh",67,17,0.25
"RE van der Merwe",25,17,0.24
"GB Hogg",40,21,0.24
"IC Pandey",77,17,0.24
"T Natarajan",53,24,0.24
"SM Curran",67,20,0.24
"MF Maharoof",46,16,0.23
"RR Powar",41,18,0.23
"Bipul Sharma",28,31,0.23
"Basil Thampi",64,31,0.23
"Anureet Singh",65,22,0.22
"Mujeeb Ur Rahman",38,23,0.22
"JO Holder",53,16,0.21
"CJ Jordan",51,24,0.21
"K Gowtham",52,22,0.21
"KK Ahmed",53,26,0.21
"BW Hilfenhaus",48,21,0.20
"CR Woakes",58,25,0.20
"JR Hopes",44,28,0.19
"VY Mahesh",47,20,0.19
"VRV Singh",58,16,0.19
"R McLaren",69,11,0.19
"AN Ahmed",43,20,0.19
"Ankit Sharma",28,18,0.19
"A Nortje",55,22,0.19
"RG Sharma",27,14,0.18
"Shivam Mavi",46,21,0.18
"LR Shukla",39,16,0.17
"GD McGrath",41,10,0.17
"DJ Hussey",30,25,0.17
"MR Marsh",40,14,0.17
