BOWLER_NAME,MATCH_PLAYED,WICKET_TAKEN,ECONOMY_RATE,BOWLING_AVG,TOTAL_RUNS_GIVEN,OVERS_BOWLED,BALLS_BOWLED,WIDES,NO_BALLS,FOURS,SIXES
"A Ashish Reddy",20,19,8.89,21.05,400,45,270,6,2,26,20
"A Chandila",12,11,6.28,22.27,245,39,234,0,0,17,10
"A Choudhary",5,5,8.00,28.80,144,18,108,6,1,13,6
"A Dananjaya",1,0,11.28,NULL,47,4,25,1,0,2,4
"A Flintoff",3,2,9.64,53.00,106,11,66,0,0,7,7
"A Kumble",42,49,6.65,22.22,1089,164,983,13,5,72,35
"A Mishra",150,169,7.26,23.15,3913,539,3233,51,21,222,172
"A Mithun",16,8,9.17,59.63,477,52,312,15,9,42,21
"A Nehra",88,121,7.71,20.97,2537,329,1974,56,9,279,76
"A Nel",1,1,10.33,31.00,31,3,18,0,0,3,2
"A Nortje",16,23,8.44,23.00,529,63,376,10,0,55,22
"A Singh",23,31,7.89,20.61,639,81,486,12,1,67,17
"A Symonds",30,23,7.71,30.17,694,90,540,12,1,44,33
"A Uniyal",2,3,10.58,22.33,67,6,38,2,0,6,3
"A Zampa",14,21,7.66,17.76,373,49,292,5,0,15,20
"AA Chavan",13,8,7.98,42.38,339,43,255,7,0,28,16
"AA Jhunjhunwala",10,1,8.86,130.00,130,15,88,3,0,10,5
"AA Kazi",1,1,9.69,21.00,21,2,13,1,0,1,1
"AA Noffke",1,1,9.84,41.00,41,4,25,1,0,2,2
"AB Agarkar",42,33,8.59,35.58,1174,137,820,36,2,113,41
"AB Dinda",75,82,7.94,25.65,2103,265,1589,58,14,232,58
"AB McDonald",10,14,8.39,18.79,263,31,188,2,0,20,11
"Abdul Samad",3,1,13.40,96.00,96,7,43,1,0,4,8
"Abdur Razzak",1,0,12.43,NULL,29,2,14,1,1,3,1
"Abhishek Sharma",8,3,9.16,37.67,113,12,74,1,1,4,6
"AC Gilchrist",1,1,0.00,0.00,0,0,1,0,0,0,0
"AC Thomas",15,16,7.63,26.00,416,55,327,10,2,41,11
"AC Voges",7,1,8.14,76.00,76,9,56,2,0,8,2
"AD Mascarenhas",13,19,7.06,19.21,365,52,310,2,0,34,8
"AD Mathews",44,28,8.14,39.11,1095,135,807,15,1,98,29
"AD Russell",68,67,8.82,26.01,1743,198,1186,33,6,170,69
"AF Milne",5,5,9.65,37.00,185,19,115,7,0,21,5
"AG Murtaza",12,12,7.18,26.83,322,45,269,5,0,22,14
"AJ Finch",5,1,9.14,67.00,67,7,44,1,0,4,4
"AJ Tye",27,45,8.30,19.82,892,108,645,24,2,77,29
"AL Menaria",12,3,7.65,48.00,144,19,113,3,0,15,4
"AM Nayar",19,9,8.11,35.89,323,40,239,10,0,22,13
"AM Rahane",1,1,5.00,5.00,5,1,6,0,0,0,0
"AM Salvi",7,7,7.88,29.29,205,26,156,6,0,18,7
"AN Ahmed",17,15,8.54,34.33,515,60,362,13,5,43,20
"Anand Rajan",8,10,7.63,20.60,206,27,162,12,1,17,8
