BOWLER_NAME,MATCH_PLAYED,WICKET_TAKEN,ECONOMY_RATE,BOWLING_AVG,TOTAL_RUNS_GIVEN,OVERS_BOWLED,BALLS_BOWLED,WIDES,NO_BALLS,FOURS,SIXES
"SL Malinga",122,188,7.03,18.54,3486,496,2974,128,18,314,86
"DJ Bravo",137,175,8.16,22.11,3869,474,2846,128,6,305,138
"A Mishra",150,169,7.26,23.15,3913,539,3233,51,21,222,172
"PP Chawla",163,164,7.91,26.40,4330,548,3285,33,2,316,181
"Harbhajan Singh",157,161,7.02,25.08,4038,575,3451,74,3,289,142
"R Ashwin",151,153,6.77,24.55,3756,555,3327,95,2,226,135
"B Kumar",121,146,7.15,22.83,3333,466,2795,89,9,336,88
"SP Narine",119,143,6.82,22.43,3208,471,2824,37,2,234,107
"UT Yadav",120,137,8.34,26.80,3672,440,2642,101,18,393,116
"R Vinay Kumar",104,127,8.32,23.79,3021,363,2179,48,9,296,98
"YS Chahal",98,124,7.63,22.44,2782,365,2188,50,8,158,135
"RA Jadeja",155,122,7.64,28.81,3515,460,2759,44,2,213,148
"A Nehra",88,121,7.71,20.97,2537,329,1974,56,9,279,76
"Z Khan",99,119,7.54,24.03,2860,379,2276,74,2,312,64
"JJ Bumrah",92,119,7.38,22.31,2655,360,2159,45,22,232,79
"Sandeep Sharma",92,117,7.57,22.96,2686,355,2128,64,7,258,93
"SR Watson",105,107,7.70,25.63,2742,356,2137,95,12,293,74
"DW Steyn",95,105,6.77,24.46,2568,379,2276,93,7,283,54
"P Kumar",119,102,7.60,32.76,3342,440,2637,112,1,338,104
"RP Singh",82,100,7.74,24.17,2417,312,1874,86,13,254,70
"MM Sharma",86,100,8.32,24.88,2488,299,1795,35,6,261,82
"PP Ojha",90,99,7.40,24.23,2399,324,1945,44,2,146,97
"IK Pathan",101,99,7.70,27.38,2711,352,2113,69,1,293,82
"JA Morkel",87,96,8.00,25.09,2409,301,1807,71,13,264,56
"DS Kulkarni",91,91,7.99,27.09,2465,308,1850,80,7,269,77
"CH Morris",70,88,7.70,22.34,1966,255,1532,54,4,185,63
"JD Unadkat",79,88,8.71,27.81,2447,281,1685,40,1,203,108
"M Morkel",70,88,7.54,24.27,2136,283,1699,57,13,230,61
"AR Patel",96,87,7.31,28.76,2502,342,2053,34,0,158,96
"L Balaji",73,85,7.94,24.51,2083,262,1574,58,4,188,69
"Imran Tahir",58,83,7.82,20.64,1713,219,1314,21,1,96,83
"AB Dinda",75,82,7.94,25.65,2103,265,1589,58,14,232,58
"R Bhatia",91,82,7.44,25.11,2059,277,1661,23,2,120,68
"MM Patel",63,82,7.52,21.13,1733,230,1382,16,11,188,53
"Rashid Khan",62,80,6.33,19.66,1573,248,1490,14,0,107,56
"MJ McClenaghan",56,75,8.20,24.52,1839,224,1346,63,9,181,72
"JH Kallis",89,74,7.83,31.73,2348,300,1799,48,9,236,58
"Mohammed Shami",63,74,8.76,27.77,2055,235,1408,50,4,209,74
"I Sharma",90,73,7.97,36.73,2681,336,2018,72,21,303,75
"SK Trivedi",75,73,7.49,26.63,1944,260,1557,42,9,154,51
"JP Faulkner",60,72,8.59,25.38,1827,213,1276,44,5,159,65
"KA Pollard",92,71,8.38,27.82,1975,236,1414,82,7,152,70
"AD Russell",68,67,8.82,26.01,1743,198,1186,33,6,170,69
"TA Boult",48,67,8.32,23.84,1597,192,1152,42,1,190,48
"Shakib Al Hasan",62,66,7.41,25.39,1676,226,1358,30,0,109,69
"M Muralitharan",66,66,6.68,26.59,1755,263,1577,51,2,104,66
"K Rabada",35,66,8.11,17.21,1136,140,840,32,3,110,36
"KV Sharma",66,64,7.97,25.70,1645,207,1239,17,0,87,91
"MG Johnson",54,64,8.02,27.09,1734,216,1297,57,8,195,55
"SK Warne",54,60,7.19,24.42,1465,204,1223,29,0,91,56
