IPL_EDITION,DATE,TEAM1,TEAM2,WINNER,RESULT,RESULT_MARGIN
2008,2008-04-18,"Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders",runs,140
2008,2008-04-19,"Delhi Daredevils","Rajasthan Royals","Delhi Daredevils",wickets,9
2008,2008-04-20,"Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,5
2008,2008-04-20,"Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders",wickets,5
2008,2008-04-21,"Rajasthan Royals","Kings XI Punjab","Rajasthan Royals",wickets,6
2008,2008-04-26,"Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals",wickets,7
2008,2008-04-27,"Mumbai Indians","Deccan Chargers","Deccan Chargers",wickets,10
2008,2008-04-28,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings",runs,13
2008,2008-04-29,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",wickets,7
2008,2008-04-30,"Delhi Daredevils","Royal Challengers Bangalore","Delhi Daredevils",runs,10
2008,2008-05-01,"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals",runs,45
2008,2008-05-04,"Mumbai Indians","Delhi Daredevils","Mumbai Indians",runs,29
2008,2008-05-04,"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals",wickets,8
2008,2008-05-05,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab",wickets,6
2008,2008-05-07,"Mumbai Indians","Rajasthan Royals","Mumbai Indians",wickets,7
2008,2008-05-08,"Delhi Daredevils","Chennai Super Kings","Chennai Super Kings",wickets,4
2008,2008-05-08,"Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders",runs,5
2008,2008-05-09,"Rajasthan Royals","Deccan Chargers","Rajasthan Royals",wickets,8
2008,2008-05-28,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",wickets,9
2008,2008-05-11,"Rajasthan Royals","Delhi Daredevils","Rajasthan Royals",wickets,3
2008,2008-05-13,"Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders",runs,23
2008,2008-05-14,"Mumbai Indians","Chennai Super Kings","Mumbai Indians",wickets,9
2008,2008-05-15,"Delhi Daredevils","Deccan Chargers","Delhi Daredevils",runs,12
2008,2008-05-16,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",wickets,8
2008,2008-05-17,"Delhi Daredevils","Kings XI Punjab","Kings XI Punjab",runs,6
2008,2008-05-17,"Rajasthan Royals","Royal Challengers Bangalore","Rajasthan Royals",runs,65
2008,2008-05-18,"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings",runs,3
2008,2008-05-19,"Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils",wickets,5
2008,2008-05-20,"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals",wickets,6
2008,2008-05-21,"Mumbai Indians","Kings XI Punjab","Kings XI Punjab",runs,1
2008,2008-05-24,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils",wickets,5
2008,2008-05-03,"Royal Challengers Bangalore","Deccan Chargers","Royal Challengers Bangalore",runs,3
2008,2008-05-25,"Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders",wickets,3
2008,2008-05-26,"Rajasthan Royals","Mumbai Indians","Rajasthan Royals",wickets,5
2008,2008-05-30,"Delhi Daredevils","Rajasthan Royals","Rajasthan Royals",runs,105
2008,2008-05-31,"Chennai Super Kings","Kings XI Punjab","Chennai Super Kings",wickets,9
2008,2008-06-01,"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals",wickets,3
2009,2009-04-18,"Chennai Super Kings","Mumbai Indians","Mumbai Indians",runs,19
2009,2009-04-18,"Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore",runs,75
2009,2009-04-19,"Delhi Daredevils","Kings XI Punjab","Delhi Daredevils",wickets,10
2009,2009-04-19,"Deccan Chargers","Kolkata Knight Riders","Deccan Chargers",wickets,8
2009,2009-04-20,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings",runs,92
2009,2009-04-21,"Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders",runs,11
2009,2009-04-22,"Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers",runs,24
2009,2009-04-23,"Chennai Super Kings","Delhi Daredevils","Delhi Daredevils",runs,9
2009,2009-04-23,"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals",tie,0
2009,2009-04-24,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab",wickets,7
2009,2009-04-25,"Deccan Chargers","Mumbai Indians","Deccan Chargers",runs,12
2009,2009-04-26,"Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils",wickets,6
2009,2009-04-26,"Kings XI Punjab","Rajasthan Royals","Kings XI Punjab",runs,27
2009,2009-04-27,"Chennai Super Kings","Deccan Chargers","Deccan Chargers",wickets,6
2009,2009-04-27,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",runs,92
2009,2009-04-28,"Delhi Daredevils","Rajasthan Royals","Rajasthan Royals",wickets,5
2009,2009-04-29,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore",wickets,5
2009,2009-04-29,"Kings XI Punjab","Mumbai Indians","Kings XI Punjab",runs,3
2009,2009-04-30,"Deccan Chargers","Delhi Daredevils","Delhi Daredevils",wickets,6
2009,2009-04-30,"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings",runs,38
2009,2009-05-01,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",runs,9
2009,2009-05-01,"Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore",runs,8
2009,2009-05-02,"Deccan Chargers","Rajasthan Royals","Rajasthan Royals",wickets,3
2009,2009-05-02,"Chennai Super Kings","Delhi Daredevils","Chennai Super Kings",runs,18
2009,2009-05-03,"Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab",wickets,6
2009,2009-05-03,"Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore",wickets,9
2009,2009-05-04,"Chennai Super Kings","Deccan Chargers","Chennai Super Kings",runs,78
2009,2009-05-05,"Kings XI Punjab","Rajasthan Royals","Rajasthan Royals",runs,78
2009,2009-05-05,"Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils",wickets,9
2009,2009-05-06,"Deccan Chargers","Mumbai Indians","Deccan Chargers",runs,19
2009,2009-05-07,"Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals",wickets,7
2009,2009-05-07,"Chennai Super Kings","Kings XI Punjab","Chennai Super Kings",runs,12
2009,2009-05-08,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils",wickets,7
2009,2009-05-09,"Deccan Chargers","Kings XI Punjab","Kings XI Punjab",wickets,3
2009,2009-05-09,"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings",wickets,7
2009,2009-05-10,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",runs,16
2009,2009-05-10,"Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils",wickets,7
2009,2009-05-11,"Deccan Chargers","Rajasthan Royals","Deccan Chargers",runs,53
2009,2009-05-12,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore",wickets,6
2009,2009-05-12,"Kings XI Punjab","Mumbai Indians","Mumbai Indians",wickets,8
2009,2009-05-13,"Deccan Chargers","Delhi Daredevils","Delhi Daredevils",runs,12
2009,2009-05-14,"Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore",wickets,2
2009,2009-05-14,"Mumbai Indians","Rajasthan Royals","Rajasthan Royals",runs,2
2009,2009-05-15,"Delhi Daredevils","Kings XI Punjab","Kings XI Punjab",wickets,6
2009,2009-05-16,"Chennai Super Kings","Mumbai Indians","Chennai Super Kings",wickets,7
2009,2009-05-16,"Deccan Chargers","Kolkata Knight Riders","Deccan Chargers",wickets,6
2009,2009-05-17,"Deccan Chargers","Kings XI Punjab","Kings XI Punjab",runs,1
2009,2009-05-17,"Delhi Daredevils","Rajasthan Royals","Delhi Daredevils",runs,14
2009,2009-05-18,"Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders",wickets,7
2009,2009-05-19,"Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore",wickets,7
2009,2009-05-20,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",wickets,4
2009,2009-05-20,"Chennai Super Kings","Kings XI Punjab","Chennai Super Kings",runs,24
2009,2009-05-21,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils",wickets,4
2009,2009-05-21,"Royal Challengers Bangalore","Deccan Chargers","Royal Challengers Bangalore",runs,12
2009,2009-05-22,"Delhi Daredevils","Deccan Chargers","Deccan Chargers",wickets,6
2009,2009-05-23,"Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore",wickets,6
2009,2009-05-24,"Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers",runs,6
2010,2010-03-12,"Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders",runs,11
2010,2010-03-13,"Mumbai Indians","Rajasthan Royals","Mumbai Indians",runs,4
2010,2010-03-14,"Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders",wickets,7
2010,2010-03-16,"Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore",wickets,8
2010,2010-03-16,"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings",runs,55
2010,2010-03-17,"Delhi Daredevils","Mumbai Indians","Mumbai Indians",runs,98
2010,2010-03-18,"Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore",wickets,10
2010,2010-03-19,"Delhi Daredevils","Chennai Super Kings","Chennai Super Kings",wickets,5
2010,2010-03-19,"Deccan Chargers","Kings XI Punjab","Deccan Chargers",runs,6
2010,2010-03-20,"Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,7
2010,2010-03-21,"Deccan Chargers","Delhi Daredevils","Deccan Chargers",runs,10
2010,2010-03-22,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",wickets,7
2010,2010-03-23,"Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore",runs,36
2010,2010-03-25,"Mumbai Indians","Chennai Super Kings","Mumbai Indians",wickets,5
