IPL_EDITION,CATCH_MAGNET,CATCHES_TOOK,TEAM
2008,"SK Raina",10,"Chennai Super Kings"
2008,"YV Takawale",10,"Mumbai Indians"
2009,"AB de Villiers",13,"Delhi Daredevils"
2010,"M Vijay",11,"Chennai Super Kings"
2010,"A Symonds",11,"Deccan Chargers"
2011,"KC Sangakkara",17,"Deccan Chargers"
2012,"NV Ojha",14,"Delhi Daredevils"
2013,"MS Dhoni",15,"Chennai Super Kings"
2014,"DA Miller",14,"Kings XI Punjab"
2015,"KD Karthik",14,"Royal Challengers Bangalore"
2016,"AB de Villiers",19,"Royal Challengers Bangalore"
2017,"KA Pollard",15,"Mumbai Indians"
2018,"KD Karthik",14,"Kolkata Knight Riders"
2019,"RR Pant",18,"Delhi Capitals"
2020,"Q de Kock",18,"Mumbai Indians"
