UMPIRE_1,UMPIRE_2
"Asad Rauf","RE Koertzen"
"Aleem Dar","GA Pratapkumar"
"SJ Davis","DJ Harper"
"BF Bowden","K Hariharan"
"Aleem Dar","RB Tiffin"
"MR Benson","IL Howell"
"Asad Rauf","SL Shastri"
"BR Doctrove","RB Tiffin"
"BF Bowden","AV Jayaprakash"
"Aleem Dar","I Shivram"
"RE Koertzen","GA Pratapkumar"
"IL Howell","RE Koertzen"
"Asad Rauf","AV Jayaprakash"
"SJ Davis","BR Doctrove"
"DJ Harper","RE Koertzen"
"Aleem Dar","RB Tiffin"
"Asad Rauf","IL Howell"
"MR Benson","AM Saheba"
"BF Bowden","AV Jayaprakash"
"SJ Davis","RE Koertzen"
"Asad Rauf","IL Howell"
"BR Doctrove","AM Saheba"
"BG Jerling","GA Pratapkumar"
"BR Doctrove","DJ Harper"
"AV Jayaprakash","RE Koertzen"
"BF Bowden","SL Shastri"
"Asad Rauf","K Hariharan"
"SJ Davis","GA Pratapkumar"
"BG Jerling","RE Koertzen"
"BF Bowden","GA Pratapkumar"
"BF Bowden","K Hariharan"
"BR Doctrove","SL Shastri"
"SJ Davis","I Shivram"
"BF Bowden","K Hariharan"
"BF Bowden","RE Koertzen"
"Asad Rauf","DJ Harper"
"BF Bowden","RE Koertzen"
"BR Doctrove","K Hariharan"
"BR Doctrove","RB Tiffin"
"MR Benson","SD Ranade"
"MR Benson","BR Doctrove"
"BG Jerling","SJA Taufel"
"DJ Harper","SD Ranade"
"M Erasmus","AM Saheba"
"BR Doctrove","SJA Taufel"
"MR Benson","M Erasmus"
"BR Doctrove","TH Wijewardene"
"HDPK Dharmasena","SJA Taufel"
"S Asnani","BG Jerling"
"M Erasmus","K Hariharan"
"IL Howell","TH Wijewardene"
"BG Jerling","RB Tiffin"
"GAV Baxter","RE Koertzen"
"MR Benson","TH Wijewardene"
"MR Benson","SL Shastri"
"GAV Baxter","AM Saheba"
"GAV Baxter","RE Koertzen"
"M Erasmus","SK Tarapore"
"HDPK Dharmasena","S Ravi"
"S Asnani","BG Jerling"
"DJ Harper","RE Koertzen"
"S Asnani","MR Benson"
"RE Koertzen","TH Wijewardene"
"BR Doctrove","M Erasmus"
"SS Hazare","IL Howell"
"GAV Baxter","IL Howell"
"MR Benson","HDPK Dharmasena"
"K Hariharan","DJ Harper"
"DJ Harper","TH Wijewardene"
"M Erasmus","SK Tarapore"
"GAV Baxter","AM Saheba"
"GAV Baxter","HDPK Dharmasena"
"BR Doctrove","BG Jerling"
"SL Shastri","RB Tiffin"
"GAV Baxter","HDPK Dharmasena"
"M Erasmus","SS Hazare"
"SS Hazare","RE Koertzen"
"DJ Harper","SL Shastri"
"BR Doctrove","DJ Harper"
"BR Doctrove","DJ Harper"
"HDPK Dharmasena","IL Howell"
"SK Tarapore","SJA Taufel"
"RE Koertzen","S Ravi"
"S Ravi","RB Tiffin"
"SS Hazare","IL Howell"
"SJA Taufel","RB Tiffin"
"IL Howell","RB Tiffin"
"BG Jerling","SJA Taufel"
"BG Jerling","SJA Taufel"
"IL Howell","S Ravi"
"IL Howell","S Ravi"
"BR Doctrove","DJ Harper"
"RE Koertzen","SJA Taufel"
"RE Koertzen","SJA Taufel"
"RE Koertzen","RB Tiffin"
"RE Koertzen","RB Tiffin"
"HDPK Dharmasena","AM Saheba"
"S Das","DJ Harper"
"HDPK Dharmasena","AM Saheba"
"BR Doctrove","SK Tarapore"
"K Hariharan","DJ Harper"
"BR Doctrove","SK Tarapore"
"BF Bowden","M Erasmus"
"HDPK Dharmasena","SS Hazare"
"BF Bowden","M Erasmus"
"SS Hazare","SJA Taufel"
"RE Koertzen","RB Tiffin"
"BF Bowden","AM Saheba"
"BG Jerling","RE Koertzen"
"S Das","K Hariharan"
"SS Hazare","SJA Taufel"
"BR Doctrove","SK Tarapore"
"HDPK Dharmasena","SJA Taufel"
"K Hariharan","DJ Harper"
"BR Doctrove","S Ravi"
"S Asnani","DJ Harper"
"BF Bowden","M Erasmus"
"S Ravi","SK Tarapore"
"BG Jerling","RE Koertzen"
"S Asnani","DJ Harper"
"K Hariharan","DJ Harper"
"BF Bowden","AM Saheba"
"BR Doctrove","SK Tarapore"
"S Asnani","DJ Harper"
"BR Doctrove","S Ravi"
"M Erasmus","AM Saheba"
"HDPK Dharmasena","SJA Taufel"
"BG Jerling","RB Tiffin"
"BF Bowden","AM Saheba"
"BR Doctrove","SK Tarapore"
"BG Jerling","RE Koertzen"
"BR Doctrove","RB Tiffin"
"BR Doctrove","RB Tiffin"
"RE Koertzen","SJA Taufel"
"RE Koertzen","SJA Taufel"
"HDPK Dharmasena","K Hariharan"
"AM Saheba","RB Tiffin"
"BR Doctrove","PR Reiffel"
"RE Koertzen","SK Tarapore"
"Aleem Dar","RB Tiffin"
"HDPK Dharmasena","AL Hill"
"S Asnani","PR Reiffel"
"Aleem Dar","SS Hazare"
"BR Doctrove","PR Reiffel"
"Asad Rauf","AM Saheba"
"Aleem Dar","RB Tiffin"
"K Hariharan","AL Hill"
