IPL_EDITION,VENUE,CITY,DATES,TEAM1_IRRESPECTIVE_OF_INNING,TEAM2_IRRESPECTIVE_OF_INNING,FIRST_INNING,SECOND_INNING,WINNING_TEAM,MOM
2008,"M Chinnaswamy Stadium",Bangalore,2008-04-18,"Royal Challengers Bangalore","Kolkata Knight Riders",222/3,82/10,"Kolkata Knight Riders","BB McCullum"
2008,"Feroz Shah Kotla",Delhi,2008-04-19,"Delhi Daredevils","Rajasthan Royals",129/8,132/1,"Delhi Daredevils","MF Maharoof"
2008,"Wankhede Stadium",Mumbai,2008-04-20,"Mumbai Indians","Royal Challengers Bangalore",165/7,166/5,"Royal Challengers Bangalore","MV Boucher"
2008,"Eden Gardens",Kolkata,2008-04-20,"Kolkata Knight Riders","Deccan Chargers",110/10,112/5,"Kolkata Knight Riders","DJ Hussey"
2008,"Sawai Mansingh Stadium",Jaipur,2008-04-21,"Rajasthan Royals","Kings XI Punjab",166/8,168/4,"Rajasthan Royals","SR Watson"
2008,"M Chinnaswamy Stadium",Bangalore,2008-04-26,"Royal Challengers Bangalore","Rajasthan Royals",135/8,138/3,"Rajasthan Royals","SR Watson"
2008,"Dr DY Patil Sports Academy",Mumbai,2008-04-27,"Mumbai Indians","Deccan Chargers",154/7,155/0,"Deccan Chargers","AC Gilchrist"
2008,"M Chinnaswamy Stadium",Bangalore,2008-04-28,"Royal Challengers Bangalore","Chennai Super Kings",178/5,165/10,"Chennai Super Kings","MS Dhoni"
2008,"Eden Gardens",Kolkata,2008-04-29,"Kolkata Knight Riders","Mumbai Indians",137/8,138/3,"Mumbai Indians","ST Jayasuriya"
2008,"Feroz Shah Kotla",Delhi,2008-04-30,"Delhi Daredevils","Royal Challengers Bangalore",191/5,181/5,"Delhi Daredevils","GD McGrath"
2008,"Sawai Mansingh Stadium",Jaipur,2008-05-01,"Rajasthan Royals","Kolkata Knight Riders",196/7,151/10,"Rajasthan Royals","SA Asnodkar"
2008,"Dr DY Patil Sports Academy",Mumbai,2008-05-04,"Mumbai Indians","Delhi Daredevils",162/8,133/10,"Mumbai Indians","SM Pollock"
2008,"Sawai Mansingh Stadium",Jaipur,2008-05-04,"Rajasthan Royals","Chennai Super Kings",109/10,110/2,"Rajasthan Royals","Sohail Tanvir"
2008,"M Chinnaswamy Stadium",Bangalore,2008-05-05,"Royal Challengers Bangalore","Kings XI Punjab",126/10,127/4,"Kings XI Punjab","S Sreesanth"
2008,"Dr DY Patil Sports Academy",Mumbai,2008-05-07,"Mumbai Indians","Rajasthan Royals",103/10,104/3,"Mumbai Indians","A Nehra"
2008,"Feroz Shah Kotla",Delhi,2008-05-08,"Delhi Daredevils","Chennai Super Kings",187/5,188/6,"Chennai Super Kings","MS Dhoni"
2008,"Eden Gardens",Kolkata,2008-05-08,"Kolkata Knight Riders","Royal Challengers Bangalore",129/7,124/4,"Kolkata Knight Riders","SC Ganguly"
2008,"Sawai Mansingh Stadium",Jaipur,2008-05-09,"Rajasthan Royals","Deccan Chargers",140/8,141/2,"Rajasthan Royals","YK Pathan"
