CITY,VENUE,"NUMBER OF MATCHES"
Kolkata,"Eden Gardens",77
Delhi,"Feroz Shah Kotla",74
Mumbai,"Wankhede Stadium",73
Bangalore,"M Chinnaswamy Stadium",65
Hyderabad,""Rajiv Gandhi International Stadium",64
Chennai,""MA Chidambaram Stadium",57
Jaipur,"Sawai Mansingh Stadium",47
Chandigarh,""Punjab Cricket Association Stadium",35
"Abu Dhabi","Sheikh Zayed Stadium",29
Dubai,"Dubai International Cricket Stadium",26
Chandigarh,""Punjab Cricket Association IS Bindra Stadium",21
Pune,"Maharashtra Cricket Association Stadium",21
Mumbai,"Dr DY Patil Sports Academy",17
Pune,"Subrata Roy Sahara Stadium",17
Bengaluru,"M.Chinnaswamy Stadium",15
Durban,Kingsmead,15
Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",13
Centurion,"SuperSport Park",12
Ahmedabad,""Sardar Patel Stadium",12
Sharjah,"Sharjah Cricket Stadium",12
Mumbai,"Brabourne Stadium",11
Rajkot,"Saurashtra Cricket Association Stadium",10
Dharamsala,"Himachal Pradesh Cricket Association Stadium",9
Indore,"Holkar Cricket Stadium",9
Johannesburg,"New Wanderers Stadium",8
Ranchi,"JSCA International Stadium Complex",7
NA,"Dubai International Cricket Stadium",7
"Port Elizabeth","St George's Park",7
"Cape Town",Newlands,7
Cuttack,"Barabati Stadium",7
Raipur,"Shaheed Veer Narayan Singh International Stadium",6
NA,"Sharjah Cricket Stadium",6
Kochi,"Nehru Stadium",5
Kanpur,"Green Park",4
Nagpur,""Vidarbha Cricket Association Stadium",3
Kimberley,"De Beers Diamond Oval",3
"East London","Buffalo Park",3
Bloemfontein,"OUTsurance Oval",2
