CITY,VENUE,TOTAL_MATCH_PLAYED,BAT_FIRST,FIELD_FIRST,BAT_FIRST_PERCENTAGE,FIELD_FIRST_PERCENTAGE
Kolkata,"Eden Gardens",77,28,49,36.36%,63.64%
Delhi,"Feroz Shah Kotla",74,32,42,43.24%,56.76%
Mumbai,"Wankhede Stadium",73,22,51,30.14%,69.86%
Bangalore,"M Chinnaswamy Stadium",65,8,57,12.31%,87.69%
Jaipur,"Sawai Mansingh Stadium",47,19,28,40.43%,59.57%
"Abu Dhabi","Sheikh Zayed Stadium",29,15,14,51.72%,48.28%
Dubai,"Dubai International Cricket Stadium",26,12,14,46.15%,53.85%
Pune,"Maharashtra Cricket Association Stadium",21,2,19,9.52%,90.48%
Mumbai,"Dr DY Patil Sports Academy",17,7,10,41.18%,58.82%
Pune,"Subrata Roy Sahara Stadium",17,15,2,88.24%,11.76%
Durban,Kingsmead,15,10,5,66.67%,33.33%
Bengaluru,"M.Chinnaswamy Stadium",15,1,14,6.67%,93.33%
Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",13,5,8,38.46%,61.54%
Centurion,"SuperSport Park",12,6,6,50.00%,50.00%
Sharjah,"Sharjah Cricket Stadium",12,4,8,33.33%,66.67%
Mumbai,"Brabourne Stadium",11,6,5,54.55%,45.45%
Rajkot,"Saurashtra Cricket Association Stadium",10,3,7,30.00%,70.00%
Dharamsala,"Himachal Pradesh Cricket Association Stadium",9,1,8,11.11%,88.89%
Indore,"Holkar Cricket Stadium",9,1,8,11.11%,88.89%
Johannesburg,"New Wanderers Stadium",8,2,6,25.00%,75.00%
"Cape Town",Newlands,7,4,3,57.14%,42.86%
Cuttack,"Barabati Stadium",7,2,5,28.57%,71.43%
Ranchi,"JSCA International Stadium Complex",7,3,4,42.86%,57.14%
NA,"Dubai International Cricket Stadium",7,3,4,42.86%,57.14%
Raipur,"Shaheed Veer Narayan Singh International Stadium",6,3,3,50.00%,50.00%
NA,"Sharjah Cricket Stadium",6,2,4,33.33%,66.67%
Kochi,"Nehru Stadium",5,2,3,40.00%,60.00%
Kimberley,"De Beers Diamond Oval",3,2,1,66.67%,33.33%
Bloemfontein,"OUTsurance Oval",2,1,1,50.00%,50.00%
